"SubjectID","ActivityLabel","BodyAcceleration-mean-X","BodyAcceleration-mean-Y","BodyAcceleration-mean-Z","GravityAcceleration-mean-X","GravityAcceleration-mean-Y","GravityAcceleration-mean-Z","BodyAccelerationJerk-mean-X","BodyAccelerationJerk-mean-Y","BodyAccelerationJerk-mean-Z","BodyAngularVelocity-mean-X","BodyAngularVelocity-mean-Y","BodyAngularVelocity-mean-Z","BodyAngularVelocityJerk-mean-X","BodyAngularVelocityJerk-mean-Y","BodyAngularVelocityJerk-mean-Z","BodyAccelerationMagnitude-mean","GravityAccelerationMagnitude-mean","BodyAccelerationJerkMagnitude-mean","BodyAngularVelocityMagnitude-mean","BodyAngularVelocityJerkMagnitude-mean","FFTBodyAcceleration-mean-X","FFTBodyAcceleration-mean-Y","FFTBodyAcceleration-mean-Z","FFTBodyAccelerationJerk-mean-X","FFTBodyAccelerationJerk-mean-Y","FFTBodyAccelerationJerk-mean-Z","FFTBodyAngularVelocity-mean-X","FFTBodyAngularVelocity-mean-Y","FFTBodyAngularVelocity-mean-Z","FFTBodyAccelerationMagnitude-mean","FFTBodyAccelerationJerkMagnitude-mean","FFTBodyAngularVelocityMagnitude-mean","FFTBodyAngularVelocityJerkMagnitude-mean","BodyAcceleration-std-X","BodyAcceleration-std-Y","BodyAcceleration-std-Z","GravityAcceleration-std-X","GravityAcceleration-std-Y","GravityAcceleration-std-Z","BodyAccelerationJerk-std-X","BodyAccelerationJerk-std-Y","BodyAccelerationJerk-std-Z","BodyAngularVelocity-std-X","BodyAngularVelocity-std-Y","BodyAngularVelocity-std-Z","BodyAngularVelocityJerk-std-X","BodyAngularVelocityJerk-std-Y","BodyAngularVelocityJerk-std-Z","BodyAccelerationMagnitude-std","GravityAccelerationMagnitude-std","BodyAccelerationJerkMagnitude-std","BodyAngularVelocityMagnitude-std","BodyAngularVelocityJerkMagnitude-std","FFTBodyAcceleration-std-X","FFTBodyAcceleration-std-Y","FFTBodyAcceleration-std-Z","FFTBodyAccelerationJerk-std-X","FFTBodyAccelerationJerk-std-Y","FFTBodyAccelerationJerk-std-Z","FFTBodyAngularVelocity-std-X","FFTBodyAngularVelocity-std-Y","FFTBodyAngularVelocity-std-Z","FFTBodyAccelerationMagnitude-std","FFTBodyAccelerationJerkMagnitude-std","FFTBodyAngularVelocityMagnitude-std","FFTBodyAngularVelocityJerkMagnitude-std"
1,"WALKING",0.274979297636888,-0.0176287489795389,-0.107417676391931,0.94025663443804,-0.210535601616715,-0.0180615896708329,0.0756973153253026,0.0157656541121037,0.0018311430054755,-0.0268765428397118,-0.0706329507557723,0.0846852736332853,-0.102885677674928,-0.0513340071175504,-0.0502816969611816,-0.159661488115781,-0.159661488115781,-0.216183425599366,-0.258194933260231,-0.45030769566513,-0.265048921957781,-0.00672710724737752,-0.343498246540922,-0.267456952181729,-0.108084462891787,-0.437737385910375,-0.332456562395965,-0.36743060363219,-0.296395843446974,-0.237554043015562,-0.152560209883516,-0.402378343434842,-0.505139942724553,-0.292884083337176,-0.00807696526342939,-0.289167563478559,-0.976435927723343,-0.968130840403458,-0.955545598645533,-0.226877286224179,-0.0404240123144092,-0.47467436743804,-0.459806396902594,-0.318170456042363,-0.34076534644121,-0.357266335835735,-0.5023588118,-0.416638572435447,-0.307276449419798,-0.307276449419798,-0.148498813123343,-0.383845787667723,-0.485696325034582,-0.305599653570317,-0.0735790703749279,-0.317994265265418,-0.254570660541988,-0.0320354415461672,-0.51070727327,-0.502155199356772,-0.298030691670605,-0.418190154037464,-0.459371950576369,-0.15046737894098,-0.480351171732277,-0.498343579721326
2,"STANDING",0.278555877649007,-0.0156891664962848,-0.104362120257947,0.940764810264901,-0.18065509779106,-0.0233896114897351,0.0750749645072848,0.00774410064705298,-0.0063637871842351,-0.0251327361796689,-0.0627726861821192,0.0781010100231788,-0.0997318888533113,-0.0430723401503311,-0.0522292817433444,-0.950721802913907,-0.950721802913907,-0.977287891324503,-0.939892922218543,-0.977440182284768,-0.981719278443709,-0.944341881754967,-0.952954497549669,-0.980342048410596,-0.965829848278146,-0.974722293112583,-0.94392428178808,-0.960706952284768,-0.958230385033113,-0.954870461754967,-0.971710328178808,-0.943621338940397,-0.972622343178808,-0.984242163344371,-0.933022320761589,-0.93185104910596,-0.986671348642384,-0.967219565099338,-0.947643871887417,-0.980224372450331,-0.96561355089404,-0.978442310529801,-0.945942544933775,-0.955991028410596,-0.957205389569536,-0.966658528245033,-0.977704152715232,-0.976894645066225,-0.943975877748344,-0.943975877748344,-0.971560466390728,-0.924530044470199,-0.971087595264901,-0.98552299384106,-0.931218246622517,-0.926296218576159,-0.981973174966887,-0.967960505099338,-0.980923999569536,-0.947470195397351,-0.953959388145695,-0.960966657748344,-0.946680396291391,-0.970371799139073,-0.926228355463576,-0.97101048205298
3,"WALKING",0.279758724750733,-0.0177347153441437,-0.109963615349853,0.935984155659824,-0.154988646178886,-0.0224034099393255,0.0811552040041056,0.00556529295395894,-0.000231951695366568,-0.0314674117960117,-0.0690508750584457,0.0812629581405117,-0.0993045862304399,-0.0359830884902639,-0.0529198613038123,-0.196682723503519,-0.196682723503519,-0.288233989820554,-0.32088248614739,-0.517337393120235,-0.33644275508739,-0.0540903103478006,-0.425634025460411,-0.342768221780059,-0.208053539085748,-0.538734825683284,-0.366581859665689,-0.475700827099707,-0.339307735150733,-0.335204429002639,-0.267778605154545,-0.482085613351906,-0.59499221326393,-0.350192364384751,-0.0143908733264223,-0.347755787324721,-0.97902088568915,-0.966736339882698,-0.957967091290323,-0.299930900918182,-0.141564458415249,-0.564016687744868,-0.474683757859238,-0.430533560645748,-0.372381593019062,-0.410599262527859,-0.60336190601173,-0.452878034038416,-0.389355924377713,-0.389355924377713,-0.271055794291789,-0.449101329384164,-0.580807815865103,-0.357405189281232,-0.0577829678648387,-0.358529498846598,-0.318714055497067,-0.127749439967302,-0.588167525492669,-0.51147818888563,-0.411004623746217,-0.443812591343109,-0.518503360527859,-0.282057927851818,-0.524323958152493,-0.593735442970674
4,"STANDING",0.278553812050473,-0.0164387124833754,-0.105850171408549,0.939322019432177,-0.188865962788833,-0.00759797517621451,0.0755234358201893,0.0102676483326309,-0.00444063214214511,-0.0270080561010095,-0.0718279011621767,0.0860565826044164,-0.100334005618297,-0.0420708809252366,-0.0520814331921136,-0.961675700504732,-0.961675700504732,-0.979327481861199,-0.94968848148265,-0.981078362271293,-0.984162328044164,-0.949905774984227,-0.962019734479495,-0.981842307602524,-0.967391986876972,-0.977597688485804,-0.94904840044164,-0.968788172208202,-0.964365329148265,-0.960922856403785,-0.973086349022082,-0.952879564511041,-0.975776831577287,-0.987044260473186,-0.942252603690852,-0.949090061009464,-0.990014269369085,-0.9761310070347,-0.957967984321767,-0.981984693059937,-0.96711519681388,-0.980785503785489,-0.951527263974763,-0.965568474321767,-0.964314605141956,-0.968644637066246,-0.982206756561514,-0.979347937413249,-0.95363519362776,-0.95363519362776,-0.97331309022082,-0.936797615047319,-0.974624198044164,-0.988515776782334,-0.941527587066246,-0.945844815615142,-0.983854764921136,-0.969342673690852,-0.982660283091483,-0.953050695899054,-0.964098428264984,-0.967738713312303,-0.956485543375394,-0.972593727381703,-0.937890729274448,-0.974692434164038
5,"WALKING",0.277089703543046,-0.0179271471154603,-0.108885489696689,0.937592047847682,-0.177651252537748,-0.0752774277983444,0.0770467586377815,0.0112096300787748,-0.00438203301910596,-0.0354209373135762,-0.0708859673146026,0.0867609937569536,-0.0917190180148775,-0.0457575747929139,-0.0581377829087417,-0.136677808187967,-0.136677808187967,-0.20832215805596,-0.302592694187119,-0.450509153733775,-0.267948277421192,-0.0719385509227152,-0.281144665628907,-0.28921950674106,-0.173750931336755,-0.383818601172119,-0.352461554249338,-0.394382898283841,-0.283741516565563,-0.252596221621854,-0.181369078407616,-0.412605053665563,-0.49290687294096,-0.273665557358609,-0.0706192435774834,-0.208405967866556,-0.977746669801325,-0.967425224437086,-0.955335358112583,-0.239721762242384,-0.106141033409272,-0.409476508551921,-0.491958020860927,-0.381847740513245,-0.31722841955298,-0.370893307476821,-0.495531080321523,-0.415858967722848,-0.314268812586093,-0.314268812586093,-0.176841496152649,-0.390492122016225,-0.471803888815894,-0.277852255790397,-0.130364093742947,-0.233630477243344,-0.257218398895662,-0.0932755322810331,-0.434159249938742,-0.537831964470199,-0.381927097296689,-0.393657848890728,-0.459749787748344,-0.178254064140894,-0.48351680208245,-0.483517882838079
6,"WALKING",0.276104967076923,-0.0182283667022462,-0.108726043846154,0.934161114430769,-0.212019978110769,-0.0599048779473138,0.0805428924092,0.0119408856254769,-0.0127229083208923,-0.0508489345370154,-0.0619567348229846,0.0981804090635077,-0.0835247318784615,-0.0406190323904615,-0.0526062602877846,-0.165985396090769,-0.165985396090769,-0.231316209028308,-0.236969189363969,-0.415353246995077,-0.299252478380308,-0.0392022419536923,-0.305321906782769,-0.319759716369231,-0.174517457496,-0.417408019606154,-0.345730399513538,-0.324494924334431,-0.290571302350462,-0.260465894276615,-0.213989114164,-0.344023453156308,-0.453856510299077,-0.321409956952,-0.0202041881710769,-0.243983852471385,-0.976244275169231,-0.964954429138462,-0.950469489753846,-0.278152534494154,-0.107312356834317,-0.440444038860308,-0.467929754723077,-0.286554923533231,-0.306290983664,-0.381242709489231,-0.433144951510769,-0.446487807068923,-0.3268233511744,-0.3268233511744,-0.219819686264215,-0.317876278931385,-0.433487698769846,-0.331538943676923,-0.0739296985781538,-0.271635460392,-0.299876763776615,-0.0946629305688,-0.462732360392,-0.508373057055385,-0.271701553994862,-0.376725042993846,-0.473301356892308,-0.234972922783385,-0.420227872664308,-0.449342200391385
7,"WALKING",0.273992449545455,-0.0178427860466718,-0.107445486077922,0.927295283344156,-0.226024624159091,-0.0905261719331169,0.0735829390625974,0.0123388884126673,0.00369852292132792,-0.0381161504890584,-0.0707220432879545,0.0845915693287987,-0.0895522830765909,-0.0467976123389286,-0.0553007851504545,-0.190161357548701,-0.190161357548701,-0.276423297892857,-0.277719530672403,-0.473555318892857,-0.33056151061039,-0.0508745768458766,-0.35786395388539,-0.354430517694481,-0.191811737287338,-0.483979595574675,-0.379674503035714,-0.381275144010065,-0.356968182198052,-0.299074930769968,-0.261229783057987,-0.410740377306818,-0.528841041746753,-0.344722114778279,-0.0193122474905195,-0.281622136181299,-0.978798830584416,-0.968491648603896,-0.957004289545455,-0.309766336993701,-0.125096484507435,-0.511669348451299,-0.487987631470779,-0.323168379402922,-0.368325048272727,-0.383121864590584,-0.519954412555195,-0.513402419675325,-0.354569717863636,-0.354569717863636,-0.260053026437468,-0.382061083314935,-0.517192380499156,-0.351495984894805,-0.0660681478343507,-0.298009187279221,-0.325595931175,-0.112065055874805,-0.538440508480519,-0.524216007744351,-0.297654013032143,-0.431484749762987,-0.489588421866883,-0.265763786107792,-0.472133802954545,-0.537769362073377
8,"WALKING",0.275067461212121,-0.0185561325149798,-0.115254017383838,0.931855965858586,-0.208696009606061,-0.0878282948686869,0.0612188589252525,0.0139266950409091,-0.00233454472323232,-0.00789432387424242,-0.0824186112212121,0.0753067274787879,-0.104998459760374,-0.0528581771746465,-0.0587720053336364,-0.130565550858586,-0.130565550858586,-0.194418705775758,-0.205748686170707,-0.438721237030303,-0.265442915874747,-0.0201363829335354,-0.302597389070707,-0.258981056939495,-0.168684522959,-0.408081999464646,-0.237902981969697,-0.374637801868687,-0.261560030595152,-0.249742699673434,-0.208126722262626,-0.380374830687879,-0.508078975212121,-0.277694257229293,0.00951218129373737,-0.240331067631313,-0.977269493030303,-0.963049957474747,-0.943482048888889,-0.212765495163636,-0.0994707459656566,-0.440901704784848,-0.371966556676768,-0.342626559663737,-0.290799445272727,-0.302548431575758,-0.526228915606061,-0.430695268151515,-0.322048700505051,-0.322048700505051,-0.207699738062626,-0.339756552653535,-0.502511361640404,-0.283663577323232,-0.0400736661272727,-0.268884050065657,-0.235543999691919,-0.0843275122626263,-0.472468073050505,-0.41613068009798,-0.330768629867677,-0.366972953777778,-0.473652518686869,-0.213916092282828,-0.428797138333333,-0.532570898151515
8,"WALKING_UPSTAIRS",0.270478828615385,-0.0277119245604066,-0.120499693682967,0.896326998076923,-0.285324805164835,-0.0960541496525824,0.0799022061692308,-0.0128207263900549,0.0125259772051648,-0.025962806693956,-0.0565146770042308,0.0810383258530769,-0.105595115073626,-0.0403019392597802,-0.0548822873687912,-0.0822097540696154,-0.0822097540696154,-0.375690032664835,-0.194746809688571,-0.587390759148352,-0.25777749687033,-0.111002204901099,-0.411952945214286,-0.363651605567582,-0.340904746499451,-0.618780278186813,-0.356609956478022,-0.477758829807692,-0.2970787807,-0.22607768044011,-0.330628063232418,-0.433463752496154,-0.647749965054945,-0.191149409075824,-0.00545658741758242,-0.220209888346813,-0.951985449395604,-0.922183191703297,-0.903758796923077,-0.330904162924176,-0.309898294884066,-0.647458037802198,-0.456037407576923,-0.359006753116484,-0.281737292796703,-0.49312120798956,-0.67353676543956,-0.512144402473297,-0.201719565670879,-0.201719565670879,-0.357983344357143,-0.324891636368132,-0.650779326208791,-0.167822624434945,-0.0179556681215934,-0.188814786155165,-0.357525322021978,-0.323722844004396,-0.675299184725275,-0.49202214582967,-0.30643847756978,-0.347465314038462,-0.313852035021978,-0.401053578206044,-0.374349154083516,-0.680970857692308
9,"STANDING",0.2800411875,-0.0157772389153472,-0.107351372503715,0.9337610709375,-0.20925206376875,0.0102258116885417,0.0739651589191319,0.00779227661079514,-0.00453588383277083,-0.0257903575530556,-0.067897700559375,0.0793653953857639,-0.101841815920833,-0.0427031420138889,-0.0521265337553125,-0.962097847604167,-0.962097847604167,-0.979944932881944,-0.947564961284722,-0.9821478553125,-0.983588917777778,-0.950651517916667,-0.963998045520833,-0.983052844826389,-0.967720984826389,-0.979799528229167,-0.950715474201389,-0.969996408472222,-0.962651759236111,-0.962506456631944,-0.975955319722222,-0.954151515555556,-0.979445729791667,-0.985730600104167,-0.943299614965278,-0.949820169895833,-0.98720904125,-0.973336211736111,-0.959931929201389,-0.982982547534722,-0.967525530381944,-0.982643580243056,-0.951814683993056,-0.966965041909722,-0.961379288993056,-0.97243971375,-0.983494199791667,-0.979800531631944,-0.955443131076389,-0.955443131076389,-0.976366923680556,-0.937481386944444,-0.978207389270833,-0.986825339305556,-0.942604508159722,-0.945979855868056,-0.984493111423611,-0.969804310902778,-0.984133954548611,-0.9529337734375,-0.965616726527778,-0.964585854826389,-0.958142327569444,-0.975874138576389,-0.938138536319444,-0.9779363925
